MON;100-064;O.B Trading co.,Ltd;3;"017 516 160 015 222 564";leat_longvhp@yahoo.com;YES;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;100-100;U&M;3;010 277 338;him.smael@lmmdistribution.com;NO;DIS 5% EVERY ORDER;CREDIT;90;PUTHEAVY
WED;100-103;GOLDEN MOROKOT TRADING;3;"012 303 015 cc 089 428 889 acc 069 666 532 069 833 216 To";"chhorpoan.gmt@gmail.com acc_goldenmorokot@yahoo.com gmt.accadm@gmail.com gmt.officeteam@gmail.com";YES;NO;CREDIT;NR;PUTHEAVY
THU;100-422;TANG NGUON NGUON TRADING CO., LTD-(VAT);3;087 823 555;cheyradeth4444@gmail.com;YES;NO;CREDIT;180;PUTHEAVY
FRI;100-151;TANN SE MUY CO.,LTD-CONSIGNMENT;3;"015 346 663 096 779 8883 096 79 71 722";"semuy.tsm@gmail.com phan savot.tsm@gmail.com";NO;NO;CREDIT;180;PUTHEAVY
SAT;100-012;DOCTOR SARUN PHARMA CO., LTD;3;086 559 997;ccptsm2@gmail.com;NO;NO;CREDIT;180;PUTHEAVY
MON;100-244;KUMNIT KHMER IMPORT EXPORT CO.,LTD.;3;"016 931 007 012 931 007 096 222 36 50";kumpheak.sp@gmail.com;YES;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;100-313;ARUN RESMEY PHARMA CO.,LTD.;3;076 2222 159;cambodia@scoolfilm.com;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
WED;100-414;LY JING BAVE(CONSIGNMENT 90MONTH);3;069 40 34 89;lyjingpao@gmail.com;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
THU;100-067;C.R.S.L DISTRIBUTION.CO.,LTD.;3;070 407 333(MANAGER);chetra009@gmail.com;YES;NO;CREDIT;90;PUTHEAVY
FRI;100-355;LOLANE;3;069 64 73 69 Telegra;lolane.cambodia@gmail.com;NO;DIS-3% EVERY ORDER;CREDIT;180;PUTHEAVY
SAT;100-401;L.S.S.C TRADING CO.,LTD.;3;"010 800 999 078 888 268 023 966 799";sideth.hak@lssctrading.com;YES;DIS-4% ON COST;CREDIT;180;PUTHEAVY
MON;400-084;THANATKORN RANGER(CAMBODIA)LIMITED.;3;"010 47 59 08 ( TELEGRAM ) 016 579 757";;YES;NO;CREDIT;180;PUTHEAVY
TUE;100-331;BEST H.T.L.DISTRIBUTION(CONSIGNMENT);3;012 996 010;henghy88@yahoo.com;NO;NO;CREDIT;180;PUTHEAVY
WED;400-107;NATURE CHOICES (VAT);3;069 555 484  Whatsapp;;NO;NO;CREDIT;180;PUTHEAVY
THU;400-275;88 MEANCHEY INVESTMENT CO,.LTD;3;"089 96 00 96 098 96 00 96";chemsokphoung@yahoo.com;NO;NO;CS 6 MONTH;180;PUTHEAVY
FRI;400-150;STELLAR;3;"015 755 568 087 323 232";sokchea.k@stellarimex.com;NO;DIS-5% ON COST;CREDIT;180;PUTHEAVY
SAT;100-140;MEGA LIFESCIENCES PTY LIMITED (VAT);3;"076 222 1091 069 257 697  099 433 866";sengchanrasmey@gmail.com;YES;"DIS-5% LOREA'L & 8% ROTO EVERY OEDER";CREDIT;180;PUTHEAVY
MON;400-239;AMRET RUNG  ROEUNG GROUP LIMITED;3;012 582 787;many@amrurice.com.kh;NO;Dis-5% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;100-092;T.SUPANHA TRADING CO.,LTD;3;096 99 55 014;lovreatheyvong@gmail.com;YES;DIS-2% EVERY ORDER;CREDIT;90;PUTHEAVY
WED;100-456;YUL DIVERSITY;3;"069 731 304 010 807 735";an.kuyheng@yuldiversity.com pen.bunna@yuldiversity.com;YES;NO;CREDIT;180;PUTHEAVY
THU;100-283;DYNAMIC DISTRIBUTION CO.,LTD;3;010 62 46 71;me2.ddc@dynamic.com.kh chamroeun_bou@yahoo.com;YES;NO;CREDIT;NR;PUTHEAVY 
FRI;100-416;M.P.S.I (CAMBODIA) CO., LTD;3;"017 448 424 086 289 168";"sales.mgr@mpsicambodia.com sales.mt@mpsicambodia.com sales.gt@mpsicambodia.com account@mpsicambodia.com hr@mpsicambodia.com";NO;NO;CREDIT;180;PUTHEAVY
SAT;100-460;WR TRADING(CONSIGNMENT 90 MONTHS);3;"012 88 21 77 070 835 959";vicheka.teap@yahoo.com;YES;NO;CREDIT;180;PUTHEAVY
MON;400-060;CFC SHOP(ប្រអប់ជ័រ)(CONSIGNMENT);3;093 300 100;san.chhay@outlook.com;NO;NO;CREDIT;180;PUTHEAVY
TUE;100-371;MIND BOOK(CONSIGNMENT);3;081 33 28 13;chantykim4@gmail.com gooddaycambodia@yahoo.com;NO;NO;CREDIT;180;PUTHEAVY
WED;400-198;MG PACIFIC COMPANY LIMITED;3;"093 246 618 069 958 978 012 270 559 069 246 669";"info@mgpacific.com sreyneth@mgpacific.com";NO;NO;CREDIT;180;PUTHEAVY
FRI;100-131;NEW LINK PTE;3;"011 848 195 015 848 195";mt_teade@newlinkmarketing.net;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
SAT;100-083;IDEAL TRADING;3;"081 39 99 33 087 998 833";;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
MON;400-076;SING HUOT HAB TRADING CO.,LTD(CONSIGNMENT);3;012 567 082;khim_thyda@yahoo.com;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;400-099;MEKONG KIRIROM;3;015 885 888;mkr.mchk@gmail.com;NO;NO;CREDIT;180;PUTHEAVY
WED;100-410;OCTOPUS ASAI PACIFIC CO.,LTD.(CONSIGNMENT 3 MONTHS);3;096 438 9518;ars.cambodia@gmail.com;YES;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
THU;400-132;COOL(CONSIGNMENT);3;016 581 280;;NO;NO;CREDIT;180;PUTHEAVY
FRI;100-095;FWT FULL WELL TRADING (CAMBODIA) LTD.;3;015 666 202;sok_trading@fullwell.biz;YES;DIS-5% EVERY ORDER;CREDIT;NR;PUTHEAVY
SAT;100-126;STG ELECTRONIC;3;"098 448 845 089 878 822";sophaknarith@gmail.com;NO;DIS-5% EVERY ORDER;CREDIT;NR;PUTHEAVY
MON;100-381;ELCO ENGINEERING(CONSIGNMENT)(sarem981@gmail.com);3;"087 777 981 098 659 559";vanthyda6031@gmail.com;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;100-190;NAKAMURA(CONSIGNMENT 90MONTHS);3;087 567 007;nakamuracoltd26@gmail.com;YES;NO;CREDIT;180;PUTHEAVY
WED;400-093;ACELLENT DISTRIBUTION CO.,LTD;3;"077 756 555 098 933 319";dara1.heng@gmail.com;NO;NO;CREDIT;180;PUTHEAVY
THU;400-095;FRESKIN COSMETIC(CONSIGNMENT);3;"086 59 51 38 015 345 669 092 168 060 chandian sale";hr@hyundaixteer-kh.com;NO;DIS-3% EVERY ORDER;CREDIT;180;PUTHEAVY
FRI;100-084;DAUN PENH MEDPHARM CO.,LTD.;3;015 666 650;semmonorom@gmail.com;NO;NO;CREDIT;NR;PUTHEAVY
SAT;100-554;REALLY BEST COSMETIC WORLD.;3;093 586 871;bun_chhoeun168@yahoo.com;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
MON;400-207;SPECTRUM (SANOSAN);3;"012 888 896 096 553 4766 092 80 78 82 Telegram";"darasorphorn@spectrumfortune.com darasorphorn@gmail.com";YES;DIS-8% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;400-029;JY HOTEL;3;087 601 494;jypp.dps@gmail.com;NO;NO;CREDIT;180;PUTHEAVY 
WED;100-297;G.R STETIONERY;3;"092 485 055 098 340 399";"borin@atbc.com.kh mana@loyloy7.com";NO;DIS-3% EVERY ORDER;CREDIT;180;PUTHEAVY
THU;400-105;UNG NGIM TRADING CO.,LTD.;3;"098 206 706 017 333 514";;YES;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
SAT;400-204;S-C-T;3;069 586 926;;NO;NO;CREDIT;180;PUTHEAVY
MON;400-128;SK SEVEN CO.,LTD;3;016 69 78 37 Telegram;;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
TUE;400-151;THAVIN IMPORT & EXPORT CO.,LTD.(CONSIGNMENT);3;016 551 888;;NO;DIS-5% EVERY ORDER;CREDIT;180;PUTHEAVY
WED;400-126;EAP HENG(ZEBRA SHOP);3;011 223 335;sale@zebra-kitchenware.com;NO;NO;CREDIT;180;PUTHEAVY
THU;400-230;TAN FOOD COMPANY;3;"015 777 797 015 555268 016 666 266";;NO;NO;CREDIT;180;PUTHEAVY
FRI;400-217;JLH GLOBAL ( Cambodia ) .Co.,LTD;3;"069 200 888 012 912 727 096 962 5674";prumden.jlh88@gmail.com;NO;NO;CREDIT;180;PUTHEAVY
SAT;100-312;KMV TRADING  Company CO.,LTD;3;016 72 92 99;hempichmolika@yahoo.com;NO;"Dis-5% EVERY ORDER 30% korea ( komex )";CREDIT;NR;PUTHEAVY
MON;400-406;KHEMARAK DEPO;3;096 25 44 978;;NO;NO;CS 6 MONTHS;180;PUTHEAVY
TUE;400-062;CAMBO VICTORIA IMPORT CO.,LTD.;3;069 72 78 71 TELEGRAM;chan.sophanna@gmail.com;NO;NO;CREDIT;180;PUTHEAVY
WED;400-054;ARUNA CO.,LTD.;3;012 812 345;toch.chamroeun@arunawater.com;NO;NO;CREDIT;180;PUTHEAVY
THU;100-438;IBIS;3;015 300 325;chanthou@smpcambodia.org;YES;NO;CREDIT;180;PUTHEAVY
